题干,答案
连接电气设备的开关需安装在火线上。,正确
凡涉及有害或有刺激性气体的实验应在通风柜内进行。,正确
可以使用明火（如：电炉、煤气）或没有控温装置的加热设备直接加热有机溶剂，进行重结晶或溶液浓缩操作。,错误
实验室走廊不能放木制桌子、柜子等易燃物品，但可以放金属柜、冰箱等。,错误
眼睛溅入化学试剂时，应以大量清水冲洗，然后送医院诊治。,正确
通风控制措施就是借助于有效的通风，使气体、蒸气或粉尘的浓度低于最高容许浓度。,正确
为避免皮肤受到化学品伤害，可通过穿防毒衣，戴防护手套，穿雨衣、雨鞋等方法进行防护。,正确
化学泡沫灭火器可扑救一般油质品、油脂等的火灾，但不能扑救醇、酯、醚、酮等引起的火灾和带电设备的火灾。,正确
乙炔金属盐、环氧乙烷、偶氮氧化物等都属于易燃和易爆的化学试剂，处理时应该特别小心。,正确
常用的化学试剂如：苯、乙醚、甲苯、汽油、丙酮、甲醇和煤油均属于易燃物质。,正确
"在使用化学品的工作场所吸烟,可能会造成火灾和爆炸,但不会中毒。",错误
电分强电和弱电，弱电开关等元件不能用在强电电路。,正确
"电气检修时,应在配电箱或开关处悬挂“禁止合闸，有人工作”的标示牌。",正确
"布线时,强、弱电可以合用同一电缆管线。",错误
为方便进出专人管理的设备房间，可自行配制钥匙。,错误
对容易产生静电的场所，要保持空气潮湿；工作人员要穿防静电的衣服和鞋靴。?,正确
实验室禁止私拉乱接电线，实验过程中自制非标设备时，应报请实验室管理人员批准，然后请电气专业人员按照标准安全的连接。,正确
在充满可燃气体的环境中，可以使用手动电动工具。,错误
在使用手电钻、电砂轮等手持电动工具时，为保证安全，应该装设漏电保护器。,正确
电流对人体的伤害有两种类型：即电击和电伤。,正确
短路是指电气线路中相线与相线，相线与零线或大地，在未通过负载或电阻很小的情况下相碰，造成电气回路中电流剧增的现象。,正确
用电安全的基本要素有：电气绝缘良好、保证安全距离、线路与插座容量与设备功率相适宜、不使用三无产品。,正确
50毫安的工频电流就可以使人遭到致命电击。,正确
任何电气设备在未验明无电时，一律认为有电，不能盲目触及。,正确
实验室必须配备符合本室要求的消防器材，消防器材要放置在明显或便于拿取的位置。严禁任何人以任何借口把消防 器材移作它用。,正确
电气设备着火，首先必须采取的措施是灭火。,错误
万一发生了火灾，不管是否是电气方面引起的，首先要想办法迅速切断火灾范围内的电源。,正确
产生有害废气的实验室必须按规定安装通风、排风设施，必要时须安装废气吸收系统，保持通风和空气新鲜。 ,正确
废弃的放射源，必须报实验室与设备管理处，由实验室与设备管理处联系有资质的单位进行收贮，不得私自处理。,正确
实验室内禁止抽烟、进食。,正确
使用和储存易燃、易爆物品的实验室应根据实际情况安装通风装置，严禁吸烟和使用明火，大楼和实验室应有“严禁烟火”的警示牌，配置必要的消防、冲淋、洗眼、报警和逃生设施。,正确
普通实验室内，不得私自饲养实验动物。,正确
涉及生物安全性的动物实验，都必须在相应级别的生物安全实验室内进行。,正确
使用电子门禁的大楼和实验室，应对各类人员设置相应的级别，对于门禁卡丢失、人员调动或离校等情况应及时采取措施，办理报失或移交手续。,正确
所有操作或接触放射性核素的实验室人员应接受放射性基础知识、相关技术和放射性防护的指导和培训。实行持证上岗，并佩戴个人专用的辐射剂量计。,正确
保险丝和空气开关可以有效地防止电气火灾。,错误
Na、K、电石、金属氢化物不能与水及空气接触，须密闭保存。,正确
过氧化物、高氯酸盐、叠氮铅、乙炔铜、三硝基甲苯等属于易爆物质，受震或受热可发生热爆炸。,正确
室温下汞的蒸汽压为0.0012 mmHg柱，比安全浓度标准大100倍。,正确
有毒化学品在水中的溶解度越大，其危险性越大。,正确
各种电源是否有电，可用试电笔检验。,错误
使用钳形电流表时，应注意钳形电流表的量程。测量时戴绝缘手套，站在绝缘垫上，不得触及其它设备，以防短路或接地。,正确
在易燃、易爆、易灼烧及有静电发生的场所，可以使用化纤防护用品。,错误
漏电保护器对两相触电（人体双手触及两相电源），不起保护作用。,正确
漏电保护器既可用来保护人身安全，还可用来对低压系统或设备的绝缘状况起到监督作用；漏电保护器安装点以后的线路应是对地绝缘良好。,正确
从事特种作业（如电工、焊工、辐射、病原微生物等）的人员，必须接受相关的专业培训，通过考核并持有相应的资质证书才能上岗。,正确
在有爆炸和火灾危险场所使用手持式或移动式电动工具时，必须采用有防爆措施的电动工具。,正确
重复接地是指零线上的一处或多处通过接地装置与大地再连接，可提高线路的安全性。,正确
静电可以引起爆炸、电气绝缘和电子元器件击穿。,正确
可以用湿布擦电源开关。,错误
实验室灭火的方法要针对起因选用合适的方法。一般小火可用湿布、石棉布或沙子覆盖燃烧物即可灭火。,正确
岗位消防安全“四知四会”中的“四会”是指：会报警，会使用消防器材，会扑救初期火灾，会逃生自救,正确
火灾发生后，穿过浓烟逃生时，必须尽量贴近地面，并用湿毛巾捂住口鼻。,正确
"灭火器材设置点附近不能堆放物品,以免影响灭火器的取用。",正确
当电气设备发生火灾后，如果可能应当先断电后灭火。,正确
醋酸蒸汽与空气混合不会在热源的诱发下引起爆炸。,错误
化学废液要回收并集中存放，不可倒入下水道。,正确
实验废弃物应分类存放，及时送学校废弃物中转站，最后由学校联系有资质的公司进行处理。,正确
实验室内可以使用木制配电板、闸刀开关、花线电线。,错误
实验室人员必须定期检查设备、水电线路、门窗等是否完好，如发现问题，必须及时进行维修。,正确
实验室必须妥善保管消防器材和防盗装置，并定期检查。消防器材不得移作它用，周围禁止堆放杂物。   ,正确
SnCl2、FeSO4、Na2SO3与空气接触易逐渐被氧化，须密封保存。,正确
同位素实验室和使用固定放射源实验室要在明显位置张贴放射警示标志。定期检测放射污染情况，严防射线污染超标。,正确
溅入口中已下咽的强酸，先饮用大量水，再服用氢氧化铝膏，鸡蛋清。,正确
要保持实验室环境整洁，做到地面、桌面、设备三整洁，减少安全隐患。,正确
